Datetime,Measurement,Presence
25/12/2018 16:26,13.03534508,Yes
25/12/2018 16:26,18.96421909,Yes
25/12/2018 16:26,28.02926302,Yes
25/12/2018 16:27,24.70909357,Yes
25/12/2018 16:28,24.94215965,Yes
25/12/2018 16:28,29.64437008,Yes
25/12/2018 16:28,27.31779814,Yes
25/12/2018 16:29,28.54037285,Yes
25/12/2018 16:29,23.72367382,Yes
25/12/2018 16:29,18.82519722,Yes
25/12/2018 16:29,26.49593353,Yes
25/12/2018 16:29,12.93312311,Yes
25/12/2018 16:30,9.543442726,Yes
25/12/2018 16:30,29.73841429,Yes
25/12/2018 16:30,20.52617073,Yes
25/12/2018 16:35,28.00064087,Yes
25/12/2018 16:37,25.59638023,Yes
25/12/2018 16:38,14.60547447,Yes
25/12/2018 16:38,24.12029505,Yes
25/12/2018 16:38,17.33275652,Yes
25/12/2018 16:40,29.51761484,Yes
25/12/2018 16:40,24.51691628,Yes
25/12/2018 16:41,19.75337267,Yes
25/12/2018 16:46,27.26464272,Yes
25/12/2018 16:54,19.0787077,Yes
25/12/2018 16:56,27.87388563,Yes
25/12/2018 16:59,16.51498079,Yes
25/12/2018 17:00,25.23655891,Yes
25/12/2018 17:00,18.78021955,Yes
25/12/2018 17:01,29.59530354,Yes
25/12/2018 17:01,14.80582952,Yes
25/12/2018 17:04,11.78414822,Yes
25/12/2018 17:12,27.98019648,Yes
25/12/2018 17:28,28.11512947,Yes
25/12/2018 17:37,29.15370464,Yes
25/12/2018 17:44,22.50109911,Yes
25/12/2018 18:00,23.76456261,Yes
25/12/2018 18:16,22.83229828,Yes
25/12/2018 18:17,18.55533123,Yes
25/12/2018 18:18,16.19195938,Yes
25/12/2018 18:20,29.88561392,Yes
25/12/2018 18:22,15.63996077,Yes
25/12/2018 18:24,29.50125933,Yes
25/12/2018 18:24,29.82428074,Yes
25/12/2018 18:25,28.88792753,Yes
25/12/2018 18:25,27.75121927,Yes
25/12/2018 18:25,22.86500931,Yes
25/12/2018 18:26,25.19567013,Yes
25/12/2018 18:27,19.44670677,Yes
25/12/2018 18:30,26.92935467,Yes
25/12/2018 18:31,23.93220663,Yes
25/12/2018 18:32,22.28847742,Yes
25/12/2018 18:32,23.51514101,Yes
25/12/2018 18:33,27.61628628,Yes
25/12/2018 18:38,27.32597589,Yes
25/12/2018 18:38,28.92881632,Yes
25/12/2018 18:40,19.04599667,Yes
25/12/2018 18:40,21.37665749,Yes
25/12/2018 18:41,28.78979445,Yes
25/12/2018 18:41,16.36369228,Yes
25/12/2018 18:42,13.70592117,Yes
25/12/2018 18:42,18.62484217,Yes
25/12/2018 18:42,27.07246542,Yes
25/12/2018 18:42,16.00795984,Yes
25/12/2018 18:42,27.96792984,Yes
25/12/2018 18:42,23.44971895,Yes
25/12/2018 18:44,17.5085783,Yes
25/12/2018 18:44,28.61397266,Yes
25/12/2018 18:47,27.75121927,Yes
25/12/2018 19:02,21.16812468,Yes
25/12/2018 19:03,21.60972357,Yes
25/12/2018 19:03,24.80313778,Yes
25/12/2018 19:04,26.75353289,Yes
25/12/2018 19:05,29.47263718,Yes
25/12/2018 19:05,26.92117691,Yes
25/12/2018 19:10,14.55231905,Yes
25/12/2018 19:10,9.154999256,Yes
25/12/2018 19:12,17.50448942,Yes
25/12/2018 19:14,25.31833649,Yes
25/12/2018 19:14,28.80614996,Yes
25/12/2018 19:14,29.88561392,Yes
25/12/2018 19:14,23.99353981,Yes
25/12/2018 19:14,29.23957109,Yes
25/12/2018 19:16,25.73131323,Yes
25/12/2018 19:16,19.43444014,Yes
25/12/2018 19:17,18.81701946,Yes
25/12/2018 19:17,25.04029274,Yes
25/12/2018 19:17,28.09468508,Yes
25/12/2018 19:18,29.86516953,Yes
25/12/2018 19:18,23.54785204,Yes
25/12/2018 19:19,23.34340811,Yes
25/12/2018 19:35,27.9556632,Yes
25/12/2018 19:37,22.19852209,Yes
25/12/2018 19:50,24.12438393,Yes
25/12/2018 19:51,13.46876621,Yes
25/12/2018 19:51,27.83708572,Yes
25/12/2018 19:51,29.04330492,Yes
25/12/2018 19:53,18.01559925,Yes
25/12/2018 19:54,25.15478134,Yes
25/12/2018 19:56,27.59993076,Yes
25/12/2018 19:56,15.72173834,Yes
25/12/2018 19:57,21.68332338,Yes
25/12/2018 19:57,21.35212421,Yes
25/12/2018 19:57,12.39339113,Yes
25/12/2018 19:57,13.16210032,Yes
25/12/2018 20:00,27.50179768,Yes
25/12/2018 20:00,27.35868692,Yes
25/12/2018 20:03,29.53805923,Yes
25/12/2018 20:03,29.63210344,Yes
25/12/2018 20:04,17.05880165,Yes
25/12/2018 20:04,29.74659204,Yes
25/12/2018 20:05,28.34819555,Yes
25/12/2018 20:05,24.98304844,Yes
25/12/2018 20:05,19.50395107,Yes
25/12/2018 20:05,7.40904808,Yes
25/12/2018 20:05,5.679452419,Yes
25/12/2018 20:05,3.966212273,Yes
25/12/2018 20:05,3.769946098,Yes
25/12/2018 20:05,26.24651194,Yes
25/12/2018 20:05,15.42733908,Yes
25/12/2018 20:06,12.90041208,Yes
25/12/2018 20:06,23.91585112,Yes
25/12/2018 20:07,23.58874083,Yes
25/12/2018 20:07,29.9265027,Yes
25/12/2018 20:08,23.97309542,Yes
25/12/2018 20:08,16.17969275,Yes
25/12/2018 20:08,9.302198887,Yes
25/12/2018 20:09,28.82250547,Yes
25/12/2018 20:09,23.21665287,Yes
25/12/2018 20:09,21.13541365,Yes
25/12/2018 20:12,15.66858292,Yes
25/12/2018 20:12,16.33098125,Yes
25/12/2018 20:14,25.03620386,Yes
25/12/2018 20:14,21.36439085,Yes
25/12/2018 20:15,18.93968582,Yes
25/12/2018 20:16,17.15284586,Yes
25/12/2018 20:20,15.79124928,Yes
25/12/2018 20:20,14.53187466,Yes
25/12/2018 20:20,15.44369459,Yes
25/12/2018 20:21,29.21094894,Yes
25/12/2018 20:21,29.42765951,Yes
25/12/2018 20:21,21.93683386,Yes
25/12/2018 20:22,23.7277627,Yes
25/12/2018 20:23,22.31301069,Yes
25/12/2018 20:24,25.48189163,Yes
25/12/2018 20:24,26.26286745,Yes
25/12/2018 20:25,26.94979906,Yes
25/12/2018 20:26,22.76278734,Yes
25/12/2018 20:32,19.91692781,Yes
25/12/2018 20:32,24.49647188,Yes
25/12/2018 20:33,14.99391794,Yes
25/12/2018 20:34,23.83407354,Yes
25/12/2018 20:34,15.2883172,Yes
25/12/2018 20:34,16.01204872,Yes
25/12/2018 20:36,25.19975901,Yes
25/12/2018 20:36,20.35852671,Yes
25/12/2018 20:37,16.87071323,Yes
25/12/2018 20:38,20.3217268,Yes
25/12/2018 20:39,28.40135098,Yes
25/12/2018 20:40,16.01204872,Yes
25/12/2018 20:44,10.34895182,Yes
25/12/2018 20:44,8.787000179,Yes
25/12/2018 20:45,17.05062389,Yes
25/12/2018 20:46,14.40103054,Yes
25/12/2018 20:47,28.22144032,Yes
25/12/2018 20:47,21.00048065,Yes
25/12/2018 20:54,23.92811775,Yes
25/12/2018 20:59,26.00935698,Yes
25/12/2018 21:00,29.8324585,Yes
25/12/2018 21:00,23.1348753,Yes
25/12/2018 21:02,29.97148037,Yes
25/12/2018 21:02,19.99870539,Yes
25/12/2018 21:02,13.93489838,Yes
25/12/2018 21:03,16.73578024,Yes
25/12/2018 21:03,24.64776039,Yes
25/12/2018 21:04,15.4232502,Yes
25/12/2018 21:07,17.11604595,Yes
25/12/2018 21:08,19.58572865,Yes
25/12/2018 21:08,13.40743303,Yes
25/12/2018 21:10,26.43868923,Yes
25/12/2018 21:10,19.64706182,Yes
25/12/2018 21:11,23.84634018,Yes
25/12/2018 21:11,18.76795292,Yes
25/12/2018 21:11,22.88136482,Yes
25/12/2018 21:12,26.47140026,Yes
25/12/2018 21:13,22.942698,Yes
25/12/2018 21:14,23.51514101,Yes
25/12/2018 21:14,19.96599436,Yes
25/12/2018 21:14,29.75885868,Yes
25/12/2018 21:15,18.80066395,Yes
25/12/2018 21:15,28.80206108,Yes
25/12/2018 21:15,29.89379168,Yes
25/12/2018 21:16,29.01877165,Yes
25/12/2018 21:17,14.90805149,Yes
25/12/2018 21:17,22.21487761,Yes
25/12/2018 21:17,24.03033972,Yes
25/12/2018 21:18,28.59761715,Yes
25/12/2018 21:19,23.23709726,Yes
25/12/2018 21:19,12.54876852,Yes
25/12/2018 21:20,19.78199482,Yes
25/12/2018 21:21,18.14235449,Yes
25/12/2018 21:21,16.20422602,Yes
25/12/2018 21:23,26.32011175,Yes
25/12/2018 21:24,22.77505398,Yes
25/12/2018 21:26,23.90358448,Yes
25/12/2018 21:27,24.28793907,Yes
25/12/2018 21:30,13.57098818,Yes
25/12/2018 21:31,27.82890797,Yes
25/12/2018 21:32,21.16812468,Yes
25/12/2018 21:32,29.84063625,Yes
25/12/2018 21:32,15.88938236,Yes
25/12/2018 21:32,28.72028351,Yes
25/12/2018 21:32,19.28315163,Yes
25/12/2018 21:33,19.08279657,Yes
25/12/2018 21:34,24.15300608,Yes
25/12/2018 21:34,19.1727519,Yes
25/12/2018 21:37,10.34486294,Yes
25/12/2018 21:40,23.13896418,Yes
25/12/2018 21:40,28.65077257,Yes
25/12/2018 21:40,9.191799164,Yes
25/12/2018 21:41,19.81470585,Yes
25/12/2018 21:46,29.18232679,Yes
25/12/2018 21:47,26.27104521,Yes
25/12/2018 21:47,13.88992071,Yes
25/12/2018 21:48,28.83886099,Yes
25/12/2018 21:50,22.20669985,Yes
25/12/2018 21:50,12.96992302,Yes
25/12/2018 21:51,15.10022879,Yes
25/12/2018 21:51,15.36191702,Yes
25/12/2018 21:51,22.26803303,Yes
25/12/2018 21:51,19.4221735,Yes
25/12/2018 21:51,20.64474821,Yes
25/12/2018 21:51,20.82465887,Yes
25/12/2018 21:52,20.4362154,Yes
25/12/2018 21:52,23.62962961,Yes
25/12/2018 21:53,23.3066082,Yes
25/12/2018 21:53,28.40952873,Yes
25/12/2018 21:53,29.68525887,Yes
25/12/2018 21:53,26.0625124,Yes
25/12/2018 21:53,16.25329256,Yes
25/12/2018 21:54,29.57485914,Yes
25/12/2018 21:54,24.9339819,Yes
25/12/2018 21:54,28.92881632,Yes
25/12/2018 21:56,28.44223976,Yes
25/12/2018 21:56,26.77806616,Yes
25/12/2018 21:57,29.77112532,Yes
25/12/2018 21:57,28.3768177,Yes
25/12/2018 21:57,29.72614765,Yes
25/12/2018 21:57,25.73949099,Yes
25/12/2018 21:57,24.39833879,Yes
25/12/2018 21:57,28.53219509,Yes
25/12/2018 21:57,19.76972818,Yes
25/12/2018 21:58,21.22536898,Yes
25/12/2018 22:04,26.57362223,Yes
25/12/2018 22:05,27.0765543,Yes
25/12/2018 22:06,19.94963884,Yes
25/12/2018 22:06,23.12260866,Yes
25/12/2018 22:10,18.96830797,Yes
25/12/2018 22:10,26.85166597,Yes
25/12/2018 22:10,29.40312624,Yes
25/12/2018 22:10,17.40635633,Yes
25/12/2018 22:10,14.33969736,Yes
