Date,Time,Measurement,Presence
26/12/2018,10:21:55,23.90358448,Yes
26/12/2018,10:22:51,29.12917137,Yes
26/12/2018,10:29:23,19.96599436,Yes
26/12/2018,10:37:55,21.15176916,Yes
26/12/2018,10:37:58,22.79140949,Yes
26/12/2018,10:38:20,28.44632864,Yes
26/12/2018,10:39:27,24.2634058,Yes
26/12/2018,10:40:09,23.99762869,Yes
26/12/2018,10:40:41,14.7158742,Yes
26/12/2018,10:41:09,18.47355366,Yes
26/12/2018,10:42:20,27.31370926,Yes
26/12/2018,10:42:39,13.8735652,Yes
26/12/2018,10:42:56,9.77241993,Yes
26/12/2018,10:42:59,29.88152504,Yes
26/12/2018,10:43:59,13.58734369,Yes
26/12/2018,10:44:07,14.13525343,Yes
26/12/2018,10:44:17,12.61827946,Yes
26/12/2018,10:44:28,28.83477211,Yes
26/12/2018,10:44:31,28.67121696,Yes
26/12/2018,10:44:34,29.77112532,Yes
26/12/2018,10:47:09,20.92279196,Yes
26/12/2018,10:51:38,19.20955181,Yes
26/12/2018,10:51:51,16.94840193,Yes
26/12/2018,10:53:49,16.58449173,Yes
26/12/2018,10:53:55,19.98643875,Yes
26/12/2018,10:53:58,27.34233141,Yes
26/12/2018,10:54:44,16.7807579,Yes
26/12/2018,10:55:09,21.86323404,Yes
26/12/2018,10:55:26,26.99068785,Yes
26/12/2018,11:05:36,26.56135559,Yes
26/12/2018,11:09:13,29.76703644,Yes
26/12/2018,11:09:21,26.56135559,Yes
26/12/2018,11:09:55,23.785007,Yes
26/12/2018,11:25:55,23.90767336,Yes
26/12/2018,11:41:44,28.08241844,Yes
26/12/2018,11:56:55,28.20917368,Yes
26/12/2018,12:12:55,23.87087345,Yes
26/12/2018,12:28:55,28.04970741,Yes
26/12/2018,12:44:55,28.04561853,Yes
26/12/2018,13:00:55,27.9556632,Yes
26/12/2018,13:16:44,25.34695864,Yes
26/12/2018,13:30:37,11.95997,Yes
26/12/2018,13:30:42,29.23957109,Yes
26/12/2018,13:31:55,19.68386173,Yes
26/12/2018,15:17:42,7.159626484,Yes
26/12/2018,15:18:38,12.98627853,Yes
26/12/2018,15:20:41,19.64706182,Yes
26/12/2018,15:21:10,25.71086884,Yes
26/12/2018,15:22:55,17.54946709,Yes
26/12/2018,15:23:45,22.13310003,Yes
26/12/2018,15:23:56,15.3455615,Yes
26/12/2018,15:24:09,12.98627853,Yes
26/12/2018,15:24:22,20.99639177,Yes
26/12/2018,15:24:33,29.59530354,Yes
26/12/2018,15:24:39,22.64420986,Yes
26/12/2018,15:26:00,29.74659204,Yes
26/12/2018,15:26:07,29.77930307,Yes
26/12/2018,15:28:21,26.58179998,Yes
26/12/2018,15:28:32,21.31532431,Yes
26/12/2018,15:28:44,10.84779501,Yes
26/12/2018,15:29:11,21.42981291,Yes
26/12/2018,15:29:14,20.03550529,Yes
26/12/2018,15:29:37,23.17576408,Yes
26/12/2018,15:29:57,14.53187466,Yes
26/12/2018,15:30:14,14.4664526,Yes
26/12/2018,15:31:01,25.83353519,Yes
26/12/2018,15:31:09,24.41469431,Yes
26/12/2018,15:31:53,29.70570326,Yes
26/12/2018,15:31:58,16.64991379,Yes
26/12/2018,15:32:00,20.44848204,Yes
26/12/2018,15:34:23,24.73362684,Yes
26/12/2018,15:35:28,28.22961807,Yes
26/12/2018,15:36:16,29.17006016,Yes
26/12/2018,15:36:30,29.19868231,Yes
26/12/2018,15:38:08,19.74519491,Yes
26/12/2018,15:39:00,29.97148037,Yes
