Datetime,Weather,Wind_speed,humidity,temperature
2018-12-30 06:30:00,3.0,2.85,72.0,17.0
2018-12-30 07:00:00,3.0,2.1,72.0,17.0
2018-12-30 07:30:00,3.0,2.1,72.0,17.0
2018-12-30 08:00:00,3.0,2.1,72.0,17.0
2018-12-30 08:30:00,3.0,2.1,68.0,18.0
2018-12-30 09:00:00,3.0,2.1,72.0,18.0
2018-12-30 09:30:00,3.0,3.1,72.0,18.0
2018-12-30 10:00:00,3.0,2.6,72.0,19.0
2018-12-30 10:30:00,3.0,3.6,72.0,19.0
2018-12-30 11:00:00,3.0,2.1,68.0,19.0
2018-12-30 11:30:00,3.0,1.5,68.0,19.0
2018-12-30 12:00:00,2.0,1.5,60.0,20.0
2018-12-30 12:30:00,2.0,1.5,64.0,20.0
2018-12-30 13:00:00,2.0,1.5,64.0,20.0
2018-12-30 13:30:00,3.0,2.6,64.0,20.0
2018-12-30 14:00:00,3.0,3.1,60.0,20.0
2018-12-30 14:30:00,3.0,2.6,56.0,20.0
2018-12-30 15:00:00,3.0,2.1,60.0,20.0
2018-12-30 15:30:00,3.0,2.1,64.0,20.0
2018-12-30 16:00:00,3.0,2.1,64.0,20.0
2018-12-30 16:30:00,3.0,2.1,64.0,20.0
2018-12-30 17:00:00,3.0,2.35,64.0,20.0
2018-12-30 17:30:00,3.0,2.1,64.0,20.0
2018-12-30 18:00:00,3.0,2.1,64.0,20.0
2018-12-30 18:30:00,3.0,2.6,68.0,19.0
2018-12-30 19:00:00,3.0,2.1,68.0,19.0
2018-12-30 19:30:00,0.0,0.0,0.0,0.0
2018-12-30 20:00:00,5.0,1.5,72.0,18.0
2018-12-30 20:30:00,5.0,2.6,67.0,17.0
2018-12-30 21:00:00,6.0,0.5,59.0,18.0
2018-12-30 21:30:00,6.0,1.0,39.0,18.0
2018-12-30 22:00:00,6.0,1.5,36.0,17.0
2018-12-30 22:30:00,6.0,2.6,100.0,16.0
2018-12-30 23:00:00,6.0,3.1,100.0,18.0
2018-12-30 23:30:00,6.0,3.1,63.5,18.0
2018-12-31 00:00:00,6.0,3.1,27.0,18.0
2018-12-31 00:30:00,6.0,2.6,29.0,19.0
2018-12-31 01:00:00,6.0,2.35,32.5,18.0
2018-12-31 01:30:00,6.0,2.1,34.0,18.0
2018-12-31 02:00:00,6.0,2.1,42.0,17.0
2018-12-31 02:30:00,6.0,2.35,53.0,17.0
2018-12-31 03:00:00,6.0,2.1,55.0,17.0
2018-12-31 03:30:00,6.0,3.1,55.0,18.0
2018-12-31 04:00:00,6.0,2.1,59.0,17.0
2018-12-31 04:30:00,6.0,2.6,63.0,17.0
2018-12-31 05:00:00,6.0,3.1,67.5,16.5
2018-12-31 05:30:00,6.0,2.85,69.5,16.0
2018-12-31 06:00:00,6.0,2.6,67.0,16.0
2018-12-31 06:30:00,6.0,3.1,72.0,16.0
2018-12-31 07:00:00,6.0,2.6,72.0,16.0
2018-12-31 07:30:00,6.0,2.6,72.0,16.0
2018-12-31 08:00:00,5.0,2.1,72.0,16.0
2018-12-31 08:30:00,6.0,1.5,72.0,16.0
2018-12-31 09:00:00,6.0,2.6,70.0,17.0
2018-12-31 09:30:00,5.5,1.8,68.0,18.5
2018-12-31 10:00:00,5.0,1.25,66.0,19.5
2018-12-31 10:30:00,5.5,1.25,62.0,20.0
2018-12-31 11:00:00,6.0,1.5,62.0,20.0
2018-12-31 11:30:00,6.0,1.5,64.0,20.0
2018-12-31 12:00:00,6.0,2.1,60.0,20.5
2018-12-31 12:30:00,6.0,2.6,60.0,21.0
2018-12-31 13:00:00,6.0,4.1,60.0,21.0
2018-12-31 13:30:00,6.0,5.4,56.0,21.0
2018-12-31 14:00:00,6.0,6.2,54.0,21.0
2018-12-31 14:30:00,6.0,6.45,54.0,21.0
2018-12-31 15:00:00,6.0,6.2,52.0,21.0
2018-12-31 15:30:00,6.0,5.7,50.5,21.0
2018-12-31 16:00:00,6.0,5.15,50.5,20.5
2018-12-31 16:30:00,6.0,4.35,54.0,20.0
2018-12-31 17:00:00,6.0,3.8499999999999996,54.0,20.0
2018-12-31 17:30:00,6.0,3.1,52.0,20.0
2018-12-31 18:00:00,6.0,2.85,52.0,20.0
2018-12-31 18:30:00,6.0,2.6,55.5,19.0
2018-12-31 19:00:00,6.0,1.8,57.0,18.5
2018-12-31 19:30:00,6.0,2.05,57.0,18.5
2018-12-31 20:00:00,6.0,2.35,59.0,17.5
2018-12-31 20:30:00,6.0,2.1,57.0,17.5
2018-12-31 21:00:00,6.0,2.1,55.0,17.5
2018-12-31 21:30:00,6.0,2.6,47.0,17.0
2018-12-31 22:00:00,6.0,2.6,36.0,17.0
2018-12-31 22:30:00,6.0,1.8,34.5,16.5
2018-12-31 23:00:00,6.0,1.5,68.0,16.0
2018-12-31 23:30:00,6.0,1.5,66.5,15.5
